Country or Area,Year,Area,Sex,Age,Record Type,Reliability,Source Year,Value,Value Footnotes
Dominican Republic,1950,Total,Both Sexes,0,Census - de jure - complete tabulation,"Final figure, complete",1955,78564,
Dominican Republic,1950,Urban,Both Sexes,0,Census - de jure - complete tabulation,"Final figure, complete",1966,17425,
Dominican Republic,1950,Rural,Both Sexes,0,Census - de jure - complete tabulation,"Final figure, complete",1966,61139,
Dominican Republic,1950,Total,Both Sexes,1,Census - de jure - complete tabulation,"Final figure, complete",1955,73653,
Dominican Republic,1950,Total,Both Sexes,2,Census - de jure - complete tabulation,"Final figure, complete",1955,76884,
Dominican Republic,1950,Total,Both Sexes,3,Census - de jure - complete tabulation,"Final figure, complete",1955,74729,
Dominican Republic,1950,Total,Both Sexes,4,Census - de jure - complete tabulation,"Final figure, complete",1955,72011,
Dominican Republic,1950,Total,Both Sexes,5,Census - de jure - complete tabulation,"Final figure, complete",1955,62870,
Dominican Republic,1950,Total,Both Sexes,6,Census - de jure - complete tabulation,"Final figure, complete",1955,64575,
Dominican Republic,1950,Total,Both Sexes,7,Census - de jure - complete tabulation,"Final figure, complete",1955,64959,
Dominican Republic,1950,Total,Both Sexes,8,Census - de jure - complete tabulation,"Final figure, complete",1955,58247,
Dominican Republic,1950,Total,Both Sexes,9,Census - de jure - complete tabulation,"Final figure, complete",1955,47114,
Dominican Republic,1950,Total,Both Sexes,10,Census - de jure - complete tabulation,"Final figure, complete",1955,62432,
Dominican Republic,1950,Total,Both Sexes,11,Census - de jure - complete tabulation,"Final figure, complete",1955,45182,
Dominican Republic,1950,Total,Both Sexes,12,Census - de jure - complete tabulation,"Final figure, complete",1955,63828,
Dominican Republic,1950,Total,Both Sexes,13,Census - de jure - complete tabulation,"Final figure, complete",1955,51247,
Dominican Republic,1950,Total,Both Sexes,14,Census - de jure - complete tabulation,"Final figure, complete",1955,54151,
Dominican Republic,1950,Total,Both Sexes,15,Census - de jure - complete tabulation,"Final figure, complete",1955,48494,
Dominican Republic,1950,Total,Both Sexes,16,Census - de jure - complete tabulation,"Final figure, complete",1955,46280,
Dominican Republic,1950,Total,Both Sexes,17,Census - de jure - complete tabulation,"Final figure, complete",1955,42172,
Dominican Republic,1950,Total,Both Sexes,18,Census - de jure - complete tabulation,"Final figure, complete",1955,49472,
Dominican Republic,1950,Total,Both Sexes,19,Census - de jure - complete tabulation,"Final figure, complete",1955,39328,
