"","Municipality","Y2020","Y2021","Y2022","Y2023","Y2024"
"1","Adjuntas",18008,18026,17896,17887,17981
"2","Aguada",38109,38004,37647,37509,37523
"3","Aguadilla",55046,54613,53877,53592,53557
"4","Aguas Buenas",24189,23974,23521,23260,23125
"5","Aibonito",24633,24674,24537,24586,24751
"6","Añasco",25569,25414,25003,24796,24689
"7","Arecibo",87638,87122,86023,85579,85971
"8","Arroyo Municipio",15820,15606,15273,15062,14944
"9","Barceloneta",22669,22630,22406,22354,22413
"10","Barranquitas",28981,29076,28927,29006,29281
"11","Bayamón",184952,183983,181509,180751,181152
"12","Cabo Rojo",47122,47098,46695,46646,46820
"13","Caguas",127069,126610,125085,124539,124628
"14","Camuy",32819,32883,32599,32603,32765
"15","Canóvanas",42326,42140,41613,41488,41512
"16","Carolina",154559,153508,151495,150777,150679
"17","Cataño",23110,22810,22344,22099,21971
"18","Cayey",41593,41316,40774,40513,40389
"19","Ceiba",11284,11147,10923,10840,10783
"20","Ciales",16975,16939,16729,16684,16698
"21","Cidra Municipio",39960,39905,39482,39390,39478
"22","Coamo",34604,34351,33875,33644,33514
"23","Comerío",18868,18861,18618,18595,18613
"24","Corozal",34551,34580,34293,34318,34476
"25","Culebra",1790,1783,1769,1762,1759
"26","Dorado",35902,35936,35646,35699,35867
"27","Fajardo",32087,31812,31352,31149,31043
"28","Florida",11682,11651,11485,11418,11425
"29","Guánica",13686,13273,12790,12408,12117
"30","Guayama",36472,35625,35252,34753,34386
"31","Guayanilla",17738,17478,17060,16801,16628
"32","Guaynabo",89758,89721,89011,88995,89405
"33","Gurabo",40588,40500,40052,39959,40039
"34","Hatillo",38449,38379,37997,37927,38034
"35","Hormigueros",15618,15567,15405,15327,15290
"36","Humacao",50820,50520,49886,49659,49616
"37","Isabela",42941,42985,42728,42761,43033
"38","Jayuya",14771,14708,14488,14424,14440
"39","Juana Díaz",46498,46401,45940,45895,46045
"40","Juncos",37031,36996,36652,36668,36796
"41","Lajas",23278,23215,22934,22862,22888
"42","Lares",28089,27982,27759,27713,27734
"43","Las Marías",8856,8820,8703,8668,8674
"44","Las Piedras",35181,35143,34802,34739,34890
"45","Loíza",23607,23235,22652,22299,22047
"46","Luquillo",17766,17684,17442,17383,17387
"47","Manatí",39450,39260,38738,38631,38637
"48","Maricao",4752,4679,4571,4521,4486
"49","Maunabo",10580,10527,10368,10270,10248
"50","Mayagüe",72847,71927,70580,69741,69044
"51","Moca",37463,37515,37279,37322,37543
"52","Morovis",28706,28597,28270,28182,28230
"53","Naguabo",23384,23278,22960,22826,22820
"54","Naranjito",29244,29341,29182,29265,29516
"55","Orocovis",21431,21421,21225,21209,21260
"56","Patillas",15940,15806,15516,15335,15216
"57","Peñuelas",20347,20140,19758,19566,19453
"58","Ponce",137153,134745,132091,130153,129659
"59","Quebradillas",23619,23544,23328,23251,23301
"60","Rincón",15205,15332,15306,15420,15625
"61","Río Grande",47007,46576,45820,45554,45297
"62","Sabana Grande",22700,22624,22337,22189,22183
"63","Salinas",25721,25472,24990,24706,24504
"64","San Germán",31826,31582,31169,30970,30980
"65","San Juan",341672,339296,334591,332789,332454
"66","San Lorenzo",37671,37632,37245,37242,37363
"67","San Sebastián",39311,39276,38953,38899,38999
"68","Santa Isabel",20273,20112,19802,19675,19651
"69","Toa Alta",66845,66715,66020,65918,66100
"70","Toa Baja",75096,74195,72732,71838,71332
"71","Trujillo Alto",67690,67516,66762,66655,66816
"72","Utuado",28226,27973,27514,27236,27155
"73","Vega Alta",35366,35201,34764,34617,34658
"74","Vega Baja",54356,54229,53662,53506,53709
"75","Vieques",8236,8166,8036,7988,7966
"76","Villalba",22040,21818,21456,21268,21197
"77","Yabucoa",30326,29936,29282,28876,28580
"78","Yauco",34045,33596,32881,32387,32057
