Authors,Pub.Year,Journal,Vol:p-p,StudyID,Species,Year/Year Span,Year,Population,Trait Name,Fitness Measure Defined,N,Grad.linear.value,Grad.linear.StErr,Diff.linear.value,Diff.linear.StErr,Mean.trait.value,Trait.StDev,trait.StErr,trait.Var
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1993-1996,1993,Population 1,length of column,female fitness (fruit set),35,0.2,,0.189,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1993-1996,1993,Population 1,width of sepal dorsal,female fitness (fruit set),29,0.058,,0.163,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1993-1996,1993,Population 1,length of posterior petal lobe,female fitness (fruit set),29,-0.066,,0.113,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1993-1996,1993,Population 1,width of posterior petal lobe,female fitness (fruit set),29,0.032,,0.086,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1993-1996,1993,Population 1,length of anterior petal lobe,female fitness (fruit set),29,0.043,,0.131,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1993-1996,1993,Population 1,width of anterior petal lobe,female fitness (fruit set),29,0.122,,0.218,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1993-1996,1993,Population 1,front lip length,female fitness (fruit set),29,0.061,,0.077,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1993-1996,1993,Population 1,frontlip width,female fitness (fruit set),29,0.182,,0.439,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1993-1996,1993,Population 1,mid lobe length,female fitness (fruit set),26,-0.2,,-0.033,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1993-1996,1993,Population 1,length of the opening of the area where the pollinaria is inserted,female fitness (fruit set),28,-0.204,,-0.068,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1993-1996,1993,Population 1,distance between sepals,female fitness (fruit set),27,0.058,,0.04,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1993-1996,1993,Population 1,flower size,female fitness (fruit set),33,0.17,,0.09,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 2,length of column,female fitness (fruit set),31,0.133,,0.029,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 2,width of sepal dorsal,female fitness (fruit set),32,-0.197,,0.035,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 2,length of posterior petal lobe,female fitness (fruit set),32,-0.019,,-0.007,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 2,width of posterior petal lobe,female fitness (fruit set),32,0.123,,0.044,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 2,length of anterior petal lobe,female fitness (fruit set),32,0.007,,0.061,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 2,width of anterior petal lobe,female fitness (fruit set),32,0.245,,0.102,,,,,
