"Water_Temp","Dissolved_O2","pH","Conductivity","Nitrate","Turbidity","Macro_Richness"
26.4,5.3,7.9,286,4.7,19.2,5
21.4,5.3,7,247,3.06,5.4,12
20.7,6.8,7.7,217,1.84,7.4,14
24.6,6.1,6.8,243,3.09,7.7,12
26.6,4.6,7,253,2.59,11.5,10
23.1,6.4,7.5,244,2.21,10.7,10
29.8,4.8,6.4,267,3.3,11.1,11
26.2,6.4,7.2,288,4.2,12.5,9
23.8,4.4,7.3,272,4.24,10.8,5
22.7,6.8,7.4,194,0.31,10.2,11
22.1,5.9,7.1,236,3.4,18,11
26.7,4,7.5,241,2.58,1.8,10
23.3,6.8,7.7,247,4.06,18.8,11
18.7,7.6,8.1,220,1.63,4.2,12
22.8,8,7.8,175,2.19,16.1,14
26.9,5.4,6.7,210,3.31,7.8,10
20.2,8.4,7.4,223,2.36,14,11
20.1,8,7.3,256,2.79,16.8,13
24.4,6.6,7.3,250,1.98,10.5,11
24.4,6.3,7.2,221,2.65,15.7,11
25.6,5.7,7.8,239,2.18,9.8,12
28.2,4.8,8.1,307,1.98,15.4,7
26.7,4.7,7.8,266,3.18,13.4,9
25.3,5.2,7.2,257,2.9,13.9,8
26.7,4.6,7.2,310,3.34,14.6,7
21.9,6.7,7.2,239,2.85,13,10
22.3,6.7,7.1,220,2.6,11.2,11
20.7,7.5,8,185,2.37,16.6,12
21.5,7.6,7.7,271,3.51,27.2,7
25.6,7.3,8.1,196,2.7,20,12
19.1,7,7.7,196,2.45,14.3,7
23.2,6,8,226,2.13,4.1,14
23.2,5.3,7,231,2.61,6.5,9
23.9,7,7.7,282,3.75,21.3,8
23.1,6.6,7,257,3.03,7.6,11
21.7,8.1,7.7,226,3.64,4.7,17
23.1,6.8,7.2,194,1.97,11.6,15
28.7,4.7,7.1,291,2.94,17.3,8
29.3,4.3,6.6,260,3.59,16.2,3
24,6.8,7.2,286,4.75,22.4,10
25.5,5.6,7.4,253,2.66,12.1,10
19.4,7,7.7,205,1.53,9.6,10
21.8,7.8,7.6,215,2.35,16,13
23,5.6,6.8,237,2.94,13.6,11
28.4,5.3,8.2,272,3.42,6.6,12
